district_code,district_name,gu_name,dong_name,lat,lng,pop_total,households,age_20_30_ratio,age_40_50_ratio,workplace_pop,resident_pop,foot_traffic_daily,foot_traffic_lunch,foot_traffic_dinner,dwell_time_avg,foot_traffic_3yr_growth,card_sales_avg,industry_spend_ratio,avg_ticket_size,competitor_count_100m,competitor_count_500m,openings_1yr,closures_1yr,competitor_density,avg_operating_months,rent_per_m2,vacancy_rate,building_age,transit_passengers_daily,data_quality_score,monthly_revenue_actual,success_label_actual,closure_risk_actual
1000001,성수동2가 카페거리,성동구,성수동2가,37.5445,127.0560,28000,12500,0.44,0.26,38000,21000,34500,12075,13110,48.0,0.18,38500000,0.36,14500,4,42,5,1,0.84,44.5,55000,0.042,8.0,48000,0.95,38500000,1,0
1000002,망원동 포은로 상권,마포구,망원동,37.5562,126.9015,22000,9800,0.39,0.28,14000,18000,21000,6930,8190,52.0,0.12,32000000,0.31,12800,3,28,4,2,0.56,38.0,42000,0.038,12.0,26000,0.92,32000000,1,0
1000003,강남역 메인 상권,강남구,역삼동,37.4979,127.0276,42000,18500,0.38,0.32,95000,15000,89000,31150,37380,35.0,0.04,42000000,0.28,16000,14,142,12,8,2.84,120000,0.085,15.0,115000,0.98,42000000,0,1
1000004,홍대입구역 걷고싶은거리,마포구,서교동,37.5565,126.9244,35000,15000,0.48,0.20,28000,22000,65000,19500,28600,62.0,0.08,39000000,0.38,13500,11,98,9,6,1.96,41.0,85000,0.052,10.0,82000,0.94,39000000,1,1
1000005,연남동 경의선숲길,마포구,연남동,37.5620,126.9250,19000,8200,0.46,0.22,12000,15000,28000,8400,12600,58.0,0.15,34000000,0.40,15000,8,65,7,3,1.30,35.0,62000,0.045,9.0,31000,0.91,34000000,1,1
1000006,이태원 경리단길,용산구,이태원동,37.5385,126.9930,16000,7500,0.41,0.25,11000,12000,18000,5400,8100,55.0,-0.08,27000000,0.33,18000,6,54,2,7,1.08,28.0,48000,0.125,18.0,22000,0.89,27000000,0,2
1000007,한남동 카페거리,용산구,한남동,37.5348,127.0022,21000,9100,0.43,0.27,24000,16000,31000,9300,13630,60.0,0.14,41000000,0.37,22000,7,58,6,2,1.16,46.0,78000,0.035,7.0,38000,0.93,41000000,1,0
1000008,송파 송리단길,송파구,송파동,37.5090,127.1060,31000,13200,0.42,0.25,18000,24000,29500,8850,12980,50.0,0.11,29500000,0.34,13000,5,48,5,3,0.96,32.0,51000,0.040,11.0,42000,0.90,29500000,1,0
1000009,여의도 증권가 상권,영등포구,여의도동,37.5215,126.9240,33000,14000,0.32,0.38,120000,12000,92000,36800,32200,30.0,0.02,48000000,0.25,18500,9,88,6,4,1.76,55.0,92000,0.030,22.0,105000,0.96,48000000,1,0
1000010,종로 익선동 한옥마을,종로구,익선동,37.5742,126.9890,14000,6200,0.45,0.23,19000,11000,36000,10800,16200,65.0,0.09,35500000,0.42,16500,8,72,7,4,1.44,40.0,68000,0.048,45.0,49000,0.92,35500000,1,0
1000011,신사동 가로수길,강남구,신사동,37.5205,127.0230,25000,11000,0.42,0.28,45000,18000,48000,16800,21600,54.0,0.03,45000000,0.35,21000,10,95,8,6,1.90,48.0,98000,0.075,14.0,54000,0.94,45000000,1,1
1000012,압구정 로데오거리,강남구,압구정동,37.5270,127.0380,21000,9200,0.40,0.30,38000,15000,42000,14700,18900,58.0,0.07,49000000,0.38,28000,9,82,7,4,1.64,52.0,110000,0.055,16.0,48000,0.93,49000000,1,0
1000013,잠실 석촌호수 상권,송파구,잠실동,37.5120,127.1020,48000,19500,0.37,0.31,32000,36000,56000,19600,25200,45.0,0.10,36000000,0.32,15000,7,68,6,3,1.36,42.0,65000,0.035,10.0,78000,0.95,36000000,1,0
1000014,건대입구역 맛집거리,광진구,화양동,37.5400,127.0700,39000,17000,0.49,0.18,22000,28000,68000,20400,30600,50.0,0.05,37500000,0.39,12500,12,110,10,7,2.20,36.0,75000,0.048,13.0,88000,0.92,37500000,1,1
1000015,대학로 혜화 상권,종로구,혜화동,37.5820,127.0020,28000,12000,0.47,0.21,18000,20000,38000,11400,17100,55.0,0.02,31000000,0.35,13000,6,58,5,4,1.16,40.0,54000,0.050,25.0,45000,0.91,31000000,1,0
1000016,구로디지털단지 오피스,구로구,구로동,37.4850,126.8980,45000,18000,0.35,0.35,85000,22000,72000,28800,25200,32.0,0.04,41000000,0.26,14000,8,78,7,5,1.56,45.0,58000,0.040,15.0,89000,0.95,41000000,1,0
1000017,판교 테크노밸리,성남시,분당구,37.4000,127.1100,52000,21000,0.42,0.32,110000,25000,95000,38000,33250,30.0,0.12,52000000,0.30,19500,10,92,9,4,1.84,50.0,88000,0.025,8.0,92000,0.97,52000000,1,0
1000018,신림역 대학동 상권,관악구,신림동,37.4840,126.9290,58000,26000,0.52,0.16,15000,45000,54000,16200,24300,42.0,0.01,26000000,0.30,10500,11,105,8,9,2.10,30.0,45000,0.065,19.0,75000,0.88,26000000,0,2
1000019,명동 관광 중심 상권,중구,명동,37.5635,126.9860,12000,5000,0.36,0.30,65000,8000,78000,27300,31200,40.0,0.16,55000000,0.40,24000,15,135,11,7,2.70,42.0,180000,0.090,28.0,98000,0.96,55000000,1,1
1000020,을지로 힙지로 상권,중구,을지로동,37.5660,126.9910,15000,6800,0.44,0.26,52000,10000,46000,16100,20700,52.0,0.22,39500000,0.38,17500,7,62,6,2,1.24,36.0,64000,0.042,32.0,62000,0.94,39500000,1,0
